Strategy,Revenue,Profit,UnitsSold,ROI,ElasticityK,Run
none,322.6624881808348,161.3312440904174,32.26624881808348,0.5,6,47
promotion,652.6557184341573,290.06920819295874,72.51730204823969,0.44444444444444436,6,47
markdown,571.1271325840747,214.172674719028,71.39089157300934,0.375,6,48
none,440.70973995431075,220.35486997715537,44.070973995431075,0.5,6,48
promotion,418.369050278306,185.94180012369156,46.48545003092289,0.4444444444444444,6,48
markdown,351.4628508209691,131.7985690578634,43.93285635262114,0.375,6,49
none,519.4079078032951,259.70395390164754,51.9407907803295,0.5,6,49
promotion,543.8797653617976,241.72434016079893,60.43108504019973,0.4444444444444445,6,49
markdown,667.7794165598413,250.41728120994046,83.47242706998016,0.375,6,50
none,173.13596926776495,86.56798463388247,17.313596926776498,0.5,6,50
promotion,610.8188134063266,271.4750281805896,67.8687570451474,0.4444444444444445,6,50
markdown,441.4553294057308,165.54574852714904,55.18191617571635,0.37499999999999994,8,1
none,632.698093066253,316.3490465331265,63.269809306625305,0.5,8,1
promotion,998.3063371269255,443.6917053897447,110.92292634743617,0.4444444444444445,8,1
markdown,772.5468264600289,289.7050599225108,96.56835330750361,0.375,8,2
none,1074.3929882257128,537.1964941128564,107.43929882257129,0.5,8,2
promotion,219.14041546688605,97.39574020750491,24.34893505187623,0.4444444444444445,8,2
markdown,465.980625483827,174.74273455643512,58.247578185478375,0.375,8,3
none,680.4488925429515,340.22444627147576,68.04488925429516,0.5,8,3
promotion,925.2595319712967,411.2264586539096,102.8066146634774,0.4444444444444444,8,3
markdown,723.4962343038367,271.3110878639387,90.43702928797958,0.37499999999999994,8,4
none,513.3210943745073,256.66054718725366,51.33210943745073,0.5,8,4
promotion,840.0382592897298,373.3503374621021,93.33758436552553,0.4444444444444444,8,4
markdown,821.5974186162211,308.09903198108293,102.69967732702764,0.375,8,5
none,405.8817955519361,202.94089777596804,40.588179555193605,0.5,8,5
promotion,852.212726815668,378.76121191807465,94.69030297951866,0.4444444444444444,8,5
markdown,993.2744911628942,372.4779341860853,124.15931139536177,0.375,8,6
none,465.57029489780894,232.78514744890447,46.557029489780895,0.5,8,6
promotion,620.897843822844,275.95459725459733,68.98864931364933,0.4444444444444444,8,6
markdown,846.1227146943174,317.29601801036904,105.76533933678968,0.375,8,7
none,513.3210943745072,256.6605471872536,51.332109437450725,0.5,8,7
promotion,718.2935840303488,319.24159290237725,79.81039822559431,0.4444444444444444,8,7
markdown,527.2938656790673,197.73519962965025,65.91173320988341,0.37500000000000006,8,8
none,477.5079947669834,238.7539973834917,47.75079947669835,0.5,8,8
promotion,1071.3531422825542,476.15695212557966,119.03923803139492,0.4444444444444444,8,8
markdown,1128.163619592423,423.06135734715866,141.02045244905287,0.37500000000000006,8,9
none,620.7603931970785,310.38019659853927,62.07603931970785,0.5,8,9
promotion,328.7106232003292,146.09361031125744,36.52340257781436,0.4444444444444445,8,9
markdown,306.566200976202,114.96232536607576,38.32077512202525,0.375,8,10
none,632.6980930662531,316.34904653312657,63.26980930662532,0.5,8,10
promotion,1132.2254799122445,503.21132440544204,125.80283110136051,0.4444444444444445,8,10
markdown,772.5468264600288,289.70505992251077,96.5683533075036,0.37499999999999994,8,11
none,537.1964941128565,268.59824705642825,53.71964941128566,0.5,8,11
promotion,766.9914541341012,340.8850907262672,85.2212726815668,0.4444444444444444,8,11
markdown,649.9203460695483,243.72012977608063,81.24004325869353,0.37500000000000006,8,12
none,835.6389908422209,417.81949542111045,83.5638990842221,0.5,8,12
promotion,584.3744412450295,259.7219738866798,64.93049347166995,0.4444444444444445,8,12
markdown,981.0118431238463,367.87944117144235,122.6264803904808,0.37499999999999994,8,13
none,393.94409568276126,196.97204784138063,39.394409568276124,0.5,8,13
promotion,706.1191165044107,313.8307184464048,78.4576796116012,0.4444444444444445,8,13
markdown,772.5468264600288,289.70505992251077,96.5683533075036,0.37499999999999994,8,14
none,704.3242922813007,352.16214614065035,70.43242922813008,0.5,8,14
promotion,596.5489087709677,265.1328483426523,66.28321208566308,0.4444444444444444,8,14
markdown,453.71797744477897,170.14424154179213,56.71474718059737,0.37500000000000006,8,15
none,716.2619921504754,358.1309960752377,71.62619921504754,0.5,8,15
promotion,900.9105969194202,400.40470974196455,100.10117743549114,0.4444444444444445,8,15
markdown,919.6986029286059,344.8869760982272,114.96232536607573,0.375,8,16
none,441.6948951594597,220.84744757972985,44.16948951594597,0.5,8,16
promotion,718.2935840303488,319.24159290237725,79.81039822559431,0.4444444444444444,8,16
